show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,description_es
s2134,TV Show,Teenage Bounty Hunters,,"Anjelica Bette Fellini, Maddie Phillips, Kadeem Hardison, Virginia Williams, Mackenzie Astin, Shirley Rumierk, Myles Evans, Devon Hales, Spencer House, Eric Graise, Charity Cervantes, Wynn Everett, Method Man",United States,"August 14, 2020",2020,TV-MA,1 Season,"Crime TV Shows, TV Comedies, TV Dramas",Twin sisters Sterling and Blair balance teen life at an elite Southern high school with an unlikely new career as butt-kicking bounty hunters.,Las hermanas gemelas Sterling y Blair equilibran la vida adolescente en una escuela secundaria de elite Southern con una nueva carrera poco probable como cazadores de recompensas.
s7051,TV Show,I'm Sorry,,"Andrea Savage, Tom Everett Scott, Olive Petrucci",United States,"September 13, 2019",2019,TV-MA,2 Seasons,TV Comedies,"Life is a series of awkward situations for comedy writer and mom Andrea, thanks to plenty of neuroses and a knack for sticking her foot in her mouth.","La vida es una serie de situaciones incómodas para la escritora de comedia y madre Andrea, gracias a muchas neurosis y una habilidad especial para meterse el pie en la boca."
s8148,TV Show,Taken,,"Clive Standen, Jennifer Beals, Gaius Charles, Brooklyn Sudano, Monique Gabriela Curnen, Michael Irby, James Landry Hébert, Jose Pablo Cantillo, James Landry Hebert","France, United States"," January 12, 2019",2018,TV-14,2 Seasons,"Crime TV Shows, TV Action & Adventure, TV Thrillers","After a personal tragedy upends his life, a highly skilled former Green Beret is drawn into a career as a secret government operative.","Después de que una tragedia personal rompa su vida, una antigua boina verde altamente calificada se atrae a una carrera como un agente de gobierno secreto."
s6932,Movie,Harriet the Spy: Blog Wars,Ron Oliver,"Jennifer Stone, Kristin Booth, Wesley Morgan, Doug Murray, Shauna MacDonald, Jason Blicker, Jayne Eastwood, Melinda Shankar, Alexander Conti, Vanessa Morgan","United States, Canada","April 15, 2018",2010,TV-G,87 min,"Children & Family Movies, Comedies",Intrepid writer Harriet Welsch is determined to become the class blogger despite stiff competition from her snooty archrival.,La escritora intrépida Harriet Welsch está decidida a convertirse en la blogger de clase a pesar de la dura competencia de su archirrival presumido.
s7118,Movie,Jal,Girish Malik,"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma, Mukul Dev, Saidah Jules, Ravi Gossain, Rahul Singh",India,"October 15, 2017",2013,TV-14,132 min,"Dramas, Independent Movies, International Movies",A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.,Un joven talentoso de un pueblo afectado por la sequía ayuda a un grupo de ecologistas a encontrar agua para migrar flamencos.
s1047,Movie,Only Mine,Michael Civille,"Amber Midthunder, Brett Zimmerman, Chris Browning, Walter Fauntleroy, Claudia Ferri, Lorenzo James Henrie, Ellen Wroe, Ashley Holliday Tavares, Nancy Linehan Charles, Jonna Walsh",United States,"April 15, 2021",2019,TV-14,88 min,Thrillers,"After dating a charming cop who turns into an obsessive stalker, a small-town girl must save herself from his deadly ways.","Después de salir con un policía encantador que se convierte en un acosador obsesivo, una chica de pueblo pequeño debe salvarse de sus formas mortales."
s5107,Movie,Bibi & Tina: Tohuwabohu Total,Detlev Buck,"Lina Larissa Strahl, Lisa-Marie Koroll, Louis Held, Lea van Acken, Emilio Sakraya, Michael Maertens, Martin Seifert",Germany,"December 27, 2017",2017,TV-14,106 min,"Children & Family Movies, Music & Musicals",Teen witch Bibi and her pal Tina return to the screen to reconcile a runaway girl with her narrow-minded family and save Falkenstein Castle from chaos.,Teen Witch Bibi y su amiga Tina regresan a la pantalla para reconciliar a una niña fugitiva con su familia de mente estrecha y salvar el castillo de Falkenstein del caos.
s6568,Movie,Darna Mana Hai,Prawal Raman,"Aftab Shivdasani, Antara Mali, Boman Irani, Isha Koppikar, Nana Patekar, Raghuvir Yadav, Rajpal Yadav, Revathy, Saif Ali Khan, Sameera Reddy, Sanjay Kapoor, Shilpa Shetty, Sohail Khan, Vivek Oberoi",India,"August 1, 2019",2003,TV-MA,116 min,"Horror Movies, International Movies, Thrillers","Stranded in a jungle when their car breaks down, six friends pass their time exchanging horror stories, unaware that they may be part of one themselves.","Estado varado en una jungla cuando su auto se rompe, seis amigos pasan su tiempo intercambiando historias de terror, sin darse cuenta de que pueden ser parte de uno mismos."
s5401,Movie,Professor,Lekh Tandon,"Shammi Kapoor, Kalpana, Lalita Pawar, Parveen Choudhary, Salim, Pratima Devi, Rashid Khan, Bir Sakuja, Bela Bose, Ratnamala",India,"July 1, 2017",1962,TV-PG,163 min,"Comedies, Dramas, International Movies",A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.,Un graduado de la universidad que necesita dinero debe disfrazarse de un anciano para tutor a dos mujeres jóvenes que están bajo la atenta mirada de su estricta tía.
s3071,Movie,Posesif,Edwin,"Putri Marino, Adipati Dolken, Gritte Agatha, Chicco Kurniawan, Yayu Unru, Cut Mini Theo, Ismail Basbeth, Maulidina K. Putri",Indonesia,"January 1, 2020",2017,TV-MA,102 min,"Dramas, International Movies, Romantic Movies",A student diver risks her scholastic future and relationship with her father when she dates a moody transfer student consumed by their romance.,Un buzo de estudiante corre el riesgo de su futuro escolar y su relación con su padre cuando sale con una estudiante de transferencia de mal humor consumida por su romance.
s8409,Movie,The lynx,Stanisław Różewicz,"Jerzy Radziwiłowicz, Franciszek Pieczka, Piotr Bajor, Ryszarda Hanin, Janusz Paluszkiewicz, Henryk Machalica, Hanna Mikuć, Maria Klejdysz",Poland,"October 1, 2019",1982,TV-14,82 min,"Dramas, International Movies",A priest's duties are tested when a young guerrilla asks for absolution while confessing his plans to murder a local man he believes is a traitor.,Los deberes de un sacerdote se prueban cuando un joven guerrillero pide la absolución mientras confiesa sus planes de asesinar a un hombre local que cree que es un traidor.
s3188,TV Show,Nightflyers,,"Eoin Macken, David Ajala, Jodie Turner-Smith, Angus Sampson, Sam Strike, Maya Eshet, Brían F. O'Byrne, Gretchen Mol, Miranda Raison",United States,"December 2, 2019",2018,TV-MA,1 Season,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy","With humankind's future at stake, a group of scientists and a powerful telepath venture into the void aboard a spaceship full of secrets.","Con el futuro de la humanidad en juego, un grupo de científicos y una poderosa aventura telépata en el vacío a bordo de una nave espacial llena de secretos."
s6728,Movie,Eyyvah Eyyvah 3,Hakan Algül,"Demet Akbağ, Ata Demirer, Özge Borak, Salih Kalyon, Tanju Tuncel, Serra Yılmaz, Tarık Ünlüoğlu, Ayşenil Şamlıoğlu",Turkey,"March 10, 2017",2014,TV-PG,103 min,"Comedies, International Movies","Life is tough for Hüseyin after marrying his true love. He works day and night to support his growing family, while singer Firuzan copes with fame.","La vida es difícil para Hüseyin después de casarse con su verdadero amor.Trabaja día y noche para apoyar a su creciente familia, mientras que el cantante Firuzan hace frente a la fama."
s6714,Movie,Everybody Knows,Asghar Farhadi,"Penélope Cruz, Javier Bardem, Ricardo Darín, Eduard Fernández, Bárbara Lennie, Inma Cuesta, Elvira Mínguez, Ramón Barea, Carla Campra, Sara Sálamo, Roger Casamajor, José Ángel Egido","Spain, France, Italy","June 6, 2019",2019,R,133 min,"Dramas, International Movies, Thrillers","Journeying back to her small Spanish hometown for her sister's wedding, Laura must grapple with long-buried secrets when her daughter is abducted.","Viajando de regreso a su pequeña ciudad natal española para la boda de su hermana, Laura debe lidiar con secretos de larga data cuando su hija es secuestrada."
s5723,TV Show,Case,,"Steinunn Ólína Þorsteinsdóttir, Magnús Jónsson, Þorsteinn Bachmann, Jóhanna Vigdís Arnardóttir, Birna Rún Eiríksdóttir, Elma Stefania Agustsdottir, Bergur Þór Ingólfsson, Halldóra Geirharðsdóttir, Arnar Jónsson, Davíð Freyr Þórunnarson, Björn Stefánsson, Nína Dögg Filippusdóttir, Hjortur Jóhann Jónsson",Iceland,"November 9, 2016",2015,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A smart lawyer whose drinking and recklessness send him on a path of self-destruction finds new purpose investigating a teenager's apparent suicide.,Un abogado inteligente cuyo consumo de alcohol e imprudencia lo envía a un camino de autodestrucción encuentra un nuevo propósito investigando el aparente suicidio de un adolescente.
s96,TV Show,The Circle,,Michelle Buteau,"United States, United Kingdom","September 8, 2021",2021,TV-MA,3 Seasons,Reality TV,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.","El estado y la estrategia chocan en este experimento social y la competencia muestran donde los jugadores en línea coquetean, se hacen amigos y bagbre hacia $ 100,000."
s8678,Movie,Vikings Unearthed,Harvey Lilley,Eric Meyers,United States,"March 1, 2017",2016,TV-PG,113 min,Documentaries,Archaeologist Sarah Parcak follows clues to early Viking explorations and discusses just what these notoriously fierce warriors were really like.,La arqueóloga Sarah Parcak sigue pistas sobre las primeras exploraciones vikingas y discute exactamente cómo eran realmente estos guerreros notoriamente feroces.
s3788,TV Show,Bad Blood,,"Anthony LaPaglia, Kim Coates, Enrico Colantoni, Paul Sorvino, Maxim Roy, Brett Donahue, Michelle Mylett, Claudia Ferri, Tony Nappo",Canada,"May 31, 2019",2019,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas","This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades.","Este drama del crimen en expansión sigue la verdadera historia de la familia Rizzuto y sus asociados, que presidieron el crimen organizado en Montreal durante décadas."
s7536,Movie,My Entire High School Sinking Into the Sea,Dash Shaw,"Jason Schwartzman, Lena Dunham, Reggie Watts, Maya Rudolph, Susan Sarandon, Thomas Jay Ryan, Alex Karpovsky, Louisa Krause, John Cameron Mitchell, Matthew Maher",United States,"January 23, 2018",2016,PG-13,77 min,"Comedies, Independent Movies","After an earthquake sends their school building drifting into the sea, a group of high-schoolers struggles to survive and overcome clique wars.","Después de que un terremoto envía su edificio escolar a la deriva al mar, un grupo de estudiantes de secundaria lucha por sobrevivir y superar las guerras de camarillas."
s222,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,Bob Ross,,"August 25, 2021",2021,TV-14,93 min,Documentaries,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.,Bob Ross trajo alegría a millones como el instructor de arte más famoso del mundo.Pero una batalla por su imperio comercial arrojó una sombra sobre sus felices árboles.
s995,Movie,This Lady Called Life,Kayode Kasum,"Bisola Aiyeola, Efa Iwara, Molawa Onajobi, Tina Mba, Wale Ojo, Jemima Osunde, Lota Chukwu, Samuel Asa'ah, Michael Ejoor, Uche Elumelu",Nigeria,"April 23, 2021",2020,TV-14,120 min,"Dramas, International Movies, Romantic Movies","Abandoned by her family, young single mother Aiye struggles to survive but stays focused on her dream of becoming an elite chef.","Abandonada por su familia, la joven madre soltera Aiye lucha por sobrevivir, pero se mantiene enfocado en su sueño de convertirse en un chef de élite."
s3122,TV Show,Don't F**k with Cats: Hunting an Internet Killer,Mark Lewis,,"United Kingdom, United States","December 18, 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries",A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.,Los videos espantosos de un criminal retorcido impulsan a un grupo de detectives en línea aficionados para lanzar una cacería humana arriesgada que los lleva a un inframundo oscuro.
s7441,Movie,Memoir of a Murderer,Shin-yeon Won,"Kyung-gu Seol, Nam-gil Kim, Seol-hyun Kim, Dal-su Oh, Seok-jeong Hwang, In-Gum Jung, Ki-jun Shin, Jin-young Jang, Rina Shin, Hye-yoon Kim",South Korea,"February 19, 2018",2017,TV-MA,118 min,"Dramas, International Movies, Thrillers","Hiding his own murderous past, a man suffering from Alzheimer's must protect his daughter from her boyfriend, who he suspects is also a serial killer.","Ocultando su propio pasado asesino, un hombre que sufre de Alzheimer debe proteger a su hija de su novio, a quien sospecha también es un asesino en serie."
s6235,Movie,Barbie & Her Sisters in a Pony Tale,Kyran Kelly,"Kelly Sheridan, Kazumi Evans, Claire Corlett, Ashlyn Drummond, Alex Kelly, Tabitha St. Germain, Shannon Chan-Kent",United States,"October 1, 2017",2013,TV-Y,74 min,Children & Family Movies,"Barbie and her sisters set off on a Swiss adventure to the majestic Alps, where they're excited to spend the summer at a fun-filled riding academy!","¡Barbie y sus hermanas emprendieron una aventura suiza a los majestuosos Alpes, donde están emocionados de pasar el verano en una academia de equitación llena de diversión!"
s2253,Movie,Your Excellency,Funke Akindele,"Akin Lewis, Funke Akindele, Kemi Lala Akindoju, Shaffy Bello, Kunle Coker, Eku Edewor, Alexx Ekubo, Osas Ighodaro Ajibade, Seyi Law, Falz, Chigul, Deyemi Okanlawon, Beverly Osu, Toni Tones, Christian Paul, Bimbo Manuel, Helen Paul",,"July 10, 2020",2019,TV-G,120 min,"Comedies, International Movies","Bumbling through politics, a billionaire businessman's presidential campaign seems destined for disaster until it gets a boost from social media.","Tambaleando por la política, la campaña presidencial de un empresario multimillonario parece destinado al desastre hasta que recibe un impulso de las redes sociales."
s1116,Movie,Ferrari Ki Sawaari,Rajesh Mapuskar,"Sharman Joshi, Boman Irani, Ritwik Sahore, Paresh Rawal, Deepak Shirke, Satyadeep Misra, Aakash Dabhade, Nilesh Diwekar, Vidya Balan",India,"April 1, 2021",2012,TV-PG,133 min,"Comedies, International Movies, Sports Movies",A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.,Un padre termina involucrado con un Ferrari robado mientras intenta adquirir el dinero para enviar a su hijo a la academia principal de cricket.
s5220,TV Show,Seven and Me,,"Leila Jolene, Flavio Parenti, Josefin Asplund",France,"October 15, 2017",2017,TV-Y,1 Season,Kids' TV,A little girl discovers she’s the modern-day descendant of Snow White when seven dwarfs arrive at her suburban home to serve as her guardian angels.,Una niña descubre que es la descendiente moderna de Blancanieves cuando siete enanos llegan a su hogar suburbano para servir como sus ángeles guardianes.
s510,TV Show,Ask the StoryBots,,"Judy Greer, Erin Fitzgerald, Fred Tatasciore, Jeff Gill, Gregg Spiridellis, Evan Spiridellis",United States,"July 6, 2021",2019,TV-Y,3 Seasons,Kids' TV,"Five curious little creatures track down the answers to kids' biggest questions, like how night happens or why we need to brush our teeth.","Cinco pequeñas criaturas curiosas rastrean las respuestas a las preguntas más importantes de los niños, como cómo sucede la noche o por qué necesitamos cepillarse los dientes."
s7129,Movie,Jewel's Catch One,C. Fitz,Jewel Thais-Williams,United States,"May 1, 2018",2016,TV-MA,84 min,"Documentaries, LGBTQ Movies","The story of famed L.A. nightclub Catch One and owner Jewel Thais-Williams, who defied all odds and provided a safe space for black LGBT communities.","La historia del famoso club nocturno de Los Ángeles atraparon a uno y al propietario Jewel Thais-Williams, quien desafió todas las probabilidades y proporcionó un espacio seguro para las comunidades LGBT negras."
s8421,Movie,The Men Who Stare at Goats,Grant Heslov,"George Clooney, Ewan McGregor, Jeff Bridges, Kevin Spacey, Stephen Lang, Robert Patrick, Waleed Zuaiter, Stephen Root, Glenn Morshower, Nick Offerman, Tim Griffin, Rebecca Mader","United States, United Kingdom","June 4, 2019",2009,R,94 min,Comedies,"A journalist latches onto an unbelievable story in Iraq when he meets Lyn, a man of mysterious origins who reveals he was a ""warrior monk.""","Un periodista se aferra a una historia increíble en Irak cuando conoce a Lyn, un hombre de orígenes misteriosos que revela que era un ""monje guerrero""."
s5787,Movie,"Karol Modzelewski, Łukasz „Lotek” Lodkowski No Offense",,"Karol Modzelewski, Łukasz ""Lotek” Lodkowski",,"September 19, 2016",2016,TV-MA,65 min,Stand-Up Comedy,"Charismatic comedy pals Karol Modzelewski and Łukasz ""Lotek"" Lodkowski bring their mischievous brand of humor to Warsaw's Klub Hybrydy.","Los amigos de la comedia carismática Karol Modzelewski y łukasz ""Lotek"" Lodkowski traen su traviesa marca de humor a Klub Hybrydy de Varsovia."
s8034,Movie,Sky on Fire,Ringo Lam,"Daniel Wu, Joseph Chang, Amber Kuo, Zhang Jingchu, Ruoyun Zhang","China, Hong Kong","August 5, 2017",2016,TV-MA,100 min,"Action & Adventure, International Movies",The security chief at a top-level medical facility must fight to ensure that revolutionary cancer research doesn't fall into the wrong hands.,El jefe de seguridad en un centro médico de alto nivel debe luchar para garantizar que la investigación revolucionaria del cáncer no caiga en las manos equivocadas.
